"uid","fileName","score","category","planarFactor","springFactor","bulgeFactor","shortSplitFactor","bendSplitFactor","colinearSplitFactor","opositeEdgeFactor","randomSplitFactor","collisionRadius","collisionStrength","foodIncMin","foodIncRand"
"0001_0001","particleLinks14_0001_0001_ambocc.png",10.,"brain",0.0216274885016,2.16100041172,0.0492791035564,0.189742670833,0.00213362357955,2.1438817884,0.00107913485835,0.00192595665659,3.9819468877,0.759356434178,1.25054864045,0.399288352197
"0001_0002","particleLinks14_0001_0002_ambocc.png",2.,"mess",0.00499469563746,0.0256329366262,0.178783606334,2.40919778422,0.0126621898369,9.94394327708,0.0876308462042,0.0451625286938,3.43477423903,1.10202453993,0.519201508528,0.0142302126121
"0001_0003","particleLinks14_0001_0003_ambocc.png",0.,"nogrowth",0.00396428408449,0.221883596945,1.75882308515,1.00970387816,0.00208341476002,1.92806258661,0.0903706821588,0.00787458831488,1.93817825124,0.291314662222,0.0394190189983,0.105453152055
"0001_0004","particleLinks14_0001_0004_ambocc.png",9.,"brain",0.0681977340801,0.98038704251,0.00561659041444,0.289285871971,0.00541505755923,0.436067763287,0.721404547958,0.0196361383734,4.16016126138,1.02203777025,0.0390928918135,0.120315859806
"0001_0005","particleLinks14_0001_0005_ambocc.png",9.,"balloon",0.00535743495025,0.00925671993482,1.44645987446,0.00803175511045,0.0021915277455,0.0276126897153,2.93002720418,0.00105843738505,0.540859116312,1.95936194237,0.137042102511,0.924950647747
"0001_0006","particleLinks14_0001_0006_ambocc.png",6.,"animal",2.29935684613,0.0145146425085,0.00186022699824,0.0346410097377,0.00593360618514,0.00614951235868,1.01385424072,0.0647434609761,3.64685758798,1.10043339338,0.0164748249226,0.161871698286
"0001_0007","particleLinks14_0001_0007_ambocc.png",8.,"balloon",0.00142948891956,0.00248762777736,0.287763530104,7.88535744278,1.03630045272,0.106699635886,1.01858879056,0.00175651309532,0.153889803217,0.115421867131,0.429640613168,0.20755082692
"0001_0008","particleLinks14_0001_0008_ambocc.png",0.,"nogrowth",1.49224950756,7.1250281801,0.0502248636711,5.74249825019,0.00192143783252,0.00364243559425,0.0354102055068,0.0116880150756,1.04935364336,1.11341166106,1.50305988267,2.75900735298
"0001_0009","particleLinks14_0001_0009_ambocc.png",3.,"mess",0.012347395729,0.0161065173472,0.00568708570127,0.00362996116102,0.0017957975361,0.00727230795241,0.00763644057191,0.00714058111201,4.30318108148,0.567956801928,0.0153248401697,0.528118061716
"0001_0010","particleLinks14_0001_0010_ambocc.png",0.,"nogrowth",0.416417569149,2.61393733209,0.00597317868688,0.00111919478623,0.354184797188,0.102216478726,0.0101710654173,3.66891172288,1.20255011006,1.95574928389,5.47011064801,0.133929188259
